item,value,coordinate_location
http://www.wikidata.org/entity/Q26855,CO-SAP,Point(-81.716666666 12.55)
http://www.wikidata.org/entity/Q29158,BJ-LI,Point(2.433333333 6.366666666)
http://www.wikidata.org/entity/Q30669,EG-SHG,Point(31.7 26.56)
http://www.wikidata.org/entity/Q30675,EG-MN,Point(30.11 28.11)
http://www.wikidata.org/entity/Q30835,EG-GH,Point(31.06 30.881111111)
http://www.wikidata.org/entity/Q33369,VN-34,Point(109.0 12.333333333)
http://www.wikidata.org/entity/Q34217,GB-OXF,Point(-1.257777777 51.751944444)
http://www.wikidata.org/entity/Q35715,AU-SA,Point(135.0 -30.0)
http://www.wikidata.org/entity/Q38088,BR-PB,Point(-36.825 -7.162777777)
http://www.wikidata.org/entity/Q40398,BN-TU,Point(114.666666666 4.583333333)
http://www.wikidata.org/entity/Q40885,BR-AL,Point(-36.55 -9.57)
http://www.wikidata.org/entity/Q41079,CN-NM,Point(113.0 44.0)
http://www.wikidata.org/entity/Q41161,KR-46,Point(127.0 34.75)
http://www.wikidata.org/entity/Q41967,AT-4,Point(14.0 48.2)
http://www.wikidata.org/entity/Q42722,BR-PI,Point(-43.1 -8.233333333)
http://www.wikidata.org/entity/Q42824,BR-MT,Point(-55.665555555 -12.845)
http://www.wikidata.org/entity/Q43255,BR-RN,Point(-36.55 -5.74)
http://www.wikidata.org/entity/Q43269,VE-V,Point(-72.25 9.84)
http://www.wikidata.org/entity/Q43745,TR-08,Point(41.85 41.133333333)
http://www.wikidata.org/entity/Q44388,MT-08,Point(14.522777777 35.8725)
http://www.wikidata.org/entity/Q44724,CO-AMA,Point(-69.932777777 -4.205277777)
http://www.wikidata.org/entity/Q44757,AR-H,Point(-58.986666666 -27.451388888)
http://www.wikidata.org/entity/Q44761,AR-P,Point(-58.175 -26.183333333)
http://www.wikidata.org/entity/Q44795,AR-L,Point(-64.283333333 -36.616666666)
http://www.wikidata.org/entity/Q44843,JP-09,Point(139.816666666 36.516666666)
http://www.wikidata.org/entity/Q45833,CN-QH,Point(96.0 35.0)
http://www.wikidata.org/entity/Q46043,BD-45,Point(88.2 24.73)
http://www.wikidata.org/entity/Q46475,MX-GUA,Point(-101.262777777 21.018888888)
http://www.wikidata.org/entity/Q46508,MX-BCS,Point(-111.972777777 25.846111111)
http://www.wikidata.org/entity/Q47097,CN-GZ,Point(106.833333333 26.833333333)
http://www.wikidata.org/entity/Q48326,JP-03,Point(141.1525 39.703611111)
http://www.wikidata.org/entity/Q50615,NO-02,Point(11.0 60.0)
http://www.wikidata.org/entity/Q50619,NO-07,Point(10.22 59.31)
http://www.wikidata.org/entity/Q54932,ES-CR,Point(-4.0 39.0)
http://www.wikidata.org/entity/Q55115,MC-MO,Point(7.424815 43.73097)
http://www.wikidata.org/entity/Q57593,BW-KL,Point(26.5 -24.25)
http://www.wikidata.org/entity/Q57609,BW-SO,Point(25.0 -25.0)
http://www.wikidata.org/entity/Q58060,HR-07,Point(16.8475 45.902777777)
http://www.wikidata.org/entity/Q58092,HR-10,Point(17.505 45.873)
http://www.wikidata.org/entity/Q58194,HR-15,Point(16.062 43.929)
http://www.wikidata.org/entity/Q58253,HR-17,Point(16.5 43.166666666)
http://www.wikidata.org/entity/Q58289,HR-19,Point(18.094722222 42.653611111)
http://www.wikidata.org/entity/Q58330,HR-20,Point(16.414 46.466)
http://www.wikidata.org/entity/Q59147,CY-01,Point(33.345541 35.161749)
http://www.wikidata.org/entity/Q71113,ES-ZA,Point(-6.0 41.75)
http://www.wikidata.org/entity/Q80011,JP-12,Point(140.123333333 35.605)
http://www.wikidata.org/entity/Q80252,MX-SIN,Point(-107.502777777 25.002777777)
http://www.wikidata.org/entity/Q80370,TR-72,Point(41.407222222 38.081944444)
http://www.wikidata.org/entity/Q80914,MX-TAB,Point(-92.588888888 17.972222222)
http://www.wikidata.org/entity/Q80967,GB-ELS,Point(-7.02 57.76)
http://www.wikidata.org/entity/Q82681,MX-TLA,Point(-98.160833333 19.428888888)
http://www.wikidata.org/entity/Q83077,TR-36,Point(43.060277777 40.454722222)
http://www.wikidata.org/entity/Q83081,TR-21,Point(40.271111111 38.142222222)
http://www.wikidata.org/entity/Q83102,TR-22,Point(26.520555555 41.12)
http://www.wikidata.org/entity/Q93195,IE-U,Point(-7.0 54.4)
http://www.wikidata.org/entity/Q102317,PL-KI,Point(20.631944444 50.8725)
http://www.wikidata.org/entity/Q103686,SE-BD,Point(20.0 67.0)
http://www.wikidata.org/entity/Q103691,SE-N,Point(13.0 56.75)
http://www.wikidata.org/entity/Q104036,LV-VEN,Point(21.564444444 57.389722222)
http://www.wikidata.org/entity/Q109368,KP-08,Point(127.531 40.24)
http://www.wikidata.org/entity/Q110171,KP-10,Point(128.183333 41.4)
http://www.wikidata.org/entity/Q115310,CU-16,Point(-82.15 22.966666666)
http://www.wikidata.org/entity/Q115497,CU-01,Point(-83.6719 22.4122)
http://www.wikidata.org/entity/Q119158,BR-DF,Point(-47.757777777 -15.795)
http://www.wikidata.org/entity/Q125148,JM-04,Point(-76.533333333 18.133333333)
http://www.wikidata.org/entity/Q125711,CG-15,Point(14.8167 -0.866666666)
http://www.wikidata.org/entity/Q125863,JP-06,Point(140.133333333 38.433333333)
http://www.wikidata.org/entity/Q126514,GB-DGY,Point(-3.603 55.07)
http://www.wikidata.org/entity/Q131358,JP-25,Point(135.8685 35.004361111)
http://www.wikidata.org/entity/Q132720,JP-19,Point(138.616666666 35.616666666)
http://www.wikidata.org/entity/Q134494,HU-GY,Point(17.634444444 47.684166666)
http://www.wikidata.org/entity/Q146317,HU-VM,Point(17.916666666 47.1)
http://www.wikidata.org/entity/Q3441856,SI-073,Point(15.3177 45.6474)
http://www.wikidata.org/entity/Q4456205,UA-40,
http://www.wikidata.org/entity/Q12042076,SI-040,Point(13.65655 45.51123)
http://www.wikidata.org/entity/Q12042076,SI-040,Point(13.6602 45.5366)
http://www.wikidata.org/entity/Q12042076,SI-040,Point(13.6575 45.539)
http://www.wikidata.org/entity/Q874942,PG-CPM,Point(147.23111111 -9.15277778)
http://www.wikidata.org/entity/Q874980,PG-GPK,Point(145.0 -7.333333333)
http://www.wikidata.org/entity/Q876308,LK-3,Point(80.75 6.166666666)
http://www.wikidata.org/entity/Q880782,GB-BBD,Point(-2.45 53.683333333)
http://www.wikidata.org/entity/Q883907,GT-SM,Point(-91.79555556 14.96111111)
http://www.wikidata.org/entity/Q891238,GN-BK,Point(-14.298333333 10.941111111)
http://www.wikidata.org/entity/Q909754,CZ-324,Point(13.3775 49.7475)
http://www.wikidata.org/entity/Q911635,MU-GP,Point(57.633333333 -20.416666666)
http://www.wikidata.org/entity/Q911651,MU-FL,Point(57.716666666 -20.233333333)
http://www.wikidata.org/entity/Q130308,JP-43,Point(130.666666666 32.716666666)
http://www.wikidata.org/entity/Q132637,TR-33,Point(33.805277777 36.678611111)
http://www.wikidata.org/entity/Q134228,IR-24,Point(48.2973 38.2514)
http://www.wikidata.org/entity/Q139907,NZ-MWT,Point(175.6 -39.6)
http://www.wikidata.org/entity/Q140083,NZ-MBH,Point(173.666666666 -41.883333333)
http://www.wikidata.org/entity/Q150325,SB-WE,Point(157.0 -8.0)
http://www.wikidata.org/entity/Q152754,MH-EBO,Point(168.716666666 4.633333333)
http://www.wikidata.org/entity/Q153329,TZ-20,Point(31.5 -7.0)
http://www.wikidata.org/entity/Q158601,AL-VL,Point(19.616666666 40.35)
http://www.wikidata.org/entity/Q159736,IE-L,Point(-6.259722222 53.347777777)
http://www.wikidata.org/entity/Q161094,CZ-422,Point(13.418055555 50.460555555)
http://www.wikidata.org/entity/Q161258,FR-CP,Point(-109.217222222 10.293888888)
http://www.wikidata.org/entity/Q162475,IE-CO,Point(-8.583333333 51.966666666)
http://www.wikidata.org/entity/Q164193,UA-46,Point(23.950277777 49.7175)
http://www.wikidata.org/entity/Q164421,IE-C,Point(-9.05 53.78)
http://www.wikidata.org/entity/Q168648,HU-SN,Point(16.583333333 47.683333333)
http://www.wikidata.org/entity/Q169501,UA-53,Point(34.0 49.5)
http://www.wikidata.org/entity/Q170041,IR-27,Point(54.4444 36.8393)
http://www.wikidata.org/entity/Q170525,MA-AGD,Point(-9.583333333 30.416666666)
http://www.wikidata.org/entity/Q171132,GR-82,Point(25.166666666 37.0)
http://www.wikidata.org/entity/Q171357,HU-KM,Point(19.6917 46.9074)
http://www.wikidata.org/entity/Q171551,IR-29,Point(59.2164 32.8653)
http://www.wikidata.org/entity/Q173616,GR-L,Point(26.2 36.8)
http://www.wikidata.org/entity/Q173620,GR-K,Point(26.0 38.7)
http://www.wikidata.org/entity/Q173830,AF-FYB,Point(65.0 36.0)
http://www.wikidata.org/entity/Q174010,IR-05,Point(47.066667 34.3)
http://www.wikidata.org/entity/Q175931,MH-WTH,Point(165.966666666 10.1)
http://www.wikidata.org/entity/Q178872,SN-SL,Point(-14.8 16.216666666)
http://www.wikidata.org/entity/Q179833,AZ-SM,Point(49.639722222 40.591666666)
http://www.wikidata.org/entity/Q181882,IE-CW,Point(-6.833333333 52.666666666)
http://www.wikidata.org/entity/Q182633,IE-WH,Point(-7.5 53.5)
http://www.wikidata.org/entity/Q182778,RO-VN,Point(26.97 45.79)
http://www.wikidata.org/entity/Q183015,AF-SAM,Point(68.0167 36.25)
http://www.wikidata.org/entity/Q183539,IE-LH,Point(-6.5 53.833333333)
http://www.wikidata.org/entity/Q184445,IE-OY,Point(-7.5 53.25)
http://www.wikidata.org/entity/Q186418,AF-KDZ,Point(68.8 36.8)
http://www.wikidata.org/entity/Q187712,AE-AZ,Point(53.876953 23.5237)
http://www.wikidata.org/entity/Q187753,HU-GS,Point(17.3 47.6)
http://www.wikidata.org/entity/Q188061,LT-VL,Point(25.283888888 54.680277777)
http://www.wikidata.org/entity/Q188085,LT-PN,Point(24.370277777 55.7375)
http://www.wikidata.org/entity/Q188283,LU-ES,Point(6.0 49.5)
http://www.wikidata.org/entity/Q188781,IL-D,Point(34.83333333 30.66666667)
http://www.wikidata.org/entity/Q189352,IQ-NI,Point(42.466666666 36.0)
http://www.wikidata.org/entity/Q190690,RO-SJ,Point(23.05 47.2)
http://www.wikidata.org/entity/Q190702,RO-HR,Point(25.8 46.36)
http://www.wikidata.org/entity/Q190718,ZM-02,Point(29.0 -14.0)
http://www.wikidata.org/entity/Q191120,LV-JKB,Point(25.866388888 56.4975)
http://www.wikidata.org/entity/Q191616,HU-BE,Point(21.044722 46.7375)
http://www.wikidata.org/entity/Q191792,MN-071,Point(89.5 48.3)
http://www.wikidata.org/entity/Q191813,EE-65,Point(27.083333333 58.083333333)
http://www.wikidata.org/entity/Q192702,CZ-42,Point(13.85 50.5)
http://www.wikidata.org/entity/Q192759,FI-LS,Point(24.0 62.0)
http://www.wikidata.org/entity/Q192945,MN-065,Point(95.5 45.5)
http://www.wikidata.org/entity/Q192945,MN-065,Point(96.0 45.5)
http://www.wikidata.org/entity/Q193438,AL-10,Point(19.75 42.166666666)
http://www.wikidata.org/entity/Q193790,AL-03,Point(20.166666666 41.0)
http://www.wikidata.org/entity/Q194073,FI-IS,Point(28.0 62.0)
http://www.wikidata.org/entity/Q195356,MW-DO,Point(34.0 -13.583333333)
http://www.wikidata.org/entity/Q198587,MW-NS,Point(35.166666666 -16.75)
http://www.wikidata.org/entity/Q200047,GE-SK,Point(44.0 42.183333333)
http://www.wikidata.org/entity/Q200048,GE-KK,Point(44.516666666 41.516666666)
http://www.wikidata.org/entity/Q200124,AM-VD,Point(45.5 39.75)
http://www.wikidata.org/entity/Q200130,PK-JK,Point(73.764555555 33.938083333)
http://www.wikidata.org/entity/Q201085,RS-27,Point(20.733333 42.216667)
http://www.wikidata.org/entity/Q201149,GB-FIF,Point(-3.2 56.25)
http://www.wikidata.org/entity/Q201647,AZ-AGM,Point(46.928611 39.983611)
http://www.wikidata.org/entity/Q201647,AZ-AGM,Point(47.0 40.0)
http://www.wikidata.org/entity/Q202075,VE-J,Point(-66.61 8.7)
http://www.wikidata.org/entity/Q202174,GB-AGB,Point(-5.45 55.98333333)
http://www.wikidata.org/entity/Q202177,GB-ANS,Point(-2.916666666 56.666666666)
http://www.wikidata.org/entity/Q202202,SM-03,Point(12.468889 43.947778)
http://www.wikidata.org/entity/Q202656,AL-TE,Point(19.95 40.333333333)
http://www.wikidata.org/entity/Q203304,IS-1,Point(-21.7 64.2)
http://www.wikidata.org/entity/Q203995,GB-SOS,Point(0.71377 51.53789)
http://www.wikidata.org/entity/Q205104,PE-PUN,Point(-70.12 -15.07)
http://www.wikidata.org/entity/Q205358,GB-BDG,Point(0.078888888 51.536111111)
http://www.wikidata.org/entity/Q207424,PE-UCA,Point(-73.19 -9.96)
http://www.wikidata.org/entity/Q207840,GR-53,Point(22.25 40.583333333)
http://www.wikidata.org/entity/Q208152,GB-TWH,Point(-0.006111111 51.51)
http://www.wikidata.org/entity/Q208271,GB-IVC,Point(-4.75 55.9)
http://www.wikidata.org/entity/Q208955,GB-RDB,Point(0.074444444 51.558611111)
http://www.wikidata.org/entity/Q209149,GR-31,Point(21.25 39.25)
http://www.wikidata.org/entity/Q210457,GR-91,Point(25.16666667 35.16666667)
http://www.wikidata.org/entity/Q210527,PT-01,Point(-8.653888888 40.641111111)
http://www.wikidata.org/entity/Q210647,GB-LSB,Point(-6.043 54.511)
http://www.wikidata.org/entity/Q211934,GR-A2,Point(23.95 38.0)
http://www.wikidata.org/entity/Q213170,IQ-MA,Point(47.033333333 31.9)
http://www.wikidata.org/entity/Q214504,MY-15,Point(115.22 5.3)
http://www.wikidata.org/entity/Q216987,AO-CNN,Point(16.05 -16.7)
http://www.wikidata.org/entity/Q217838,GB-STG,Point(-4.0 56.5)
http://www.wikidata.org/entity/Q230104,AZ-NV,Point(45.412222222 39.208888888)
http://www.wikidata.org/entity/Q235106,BO-S,Point(-61.5 -17.33333333)
http://www.wikidata.org/entity/Q235110,BO-H,Point(-64.416666666 -20.0)
http://www.wikidata.org/entity/Q235166,CO-SAN,Point(-73.0 7.133333333)
http://www.wikidata.org/entity/Q235188,CO-SUC,Point(-75.4 9.3)
http://www.wikidata.org/entity/Q249995,TW-CYI,Point(120.449722222 23.48)
http://www.wikidata.org/entity/Q389976,MA-AGD,Point(-9.6 30.41666667)
http://www.wikidata.org/entity/Q856686,LK-1,Point(80.083333333 6.833333333)
http://www.wikidata.org/entity/Q1228835,GR-82,
http://www.wikidata.org/entity/Q18088065,MD-BD,Point(29.45 46.83333)
http://www.wikidata.org/entity/Q593137,PA-9,Point(-81.0 8.0)
http://www.wikidata.org/entity/Q593137,PA-9,Point(-81.13333 8.25)
http://www.wikidata.org/entity/Q605208,CZ-312,Point(14.315 48.810833333)
http://www.wikidata.org/entity/Q605343,MT-61,Point(14.2675 36.050277777)
http://www.wikidata.org/entity/Q605787,MZ-T,Point(32.5 -15.5)
http://www.wikidata.org/entity/Q609214,GB-ANT,Point(-6.21 54.727)
http://www.wikidata.org/entity/Q617801,DM-04,Point(-61.388333333 15.301388888)
http://www.wikidata.org/entity/Q622794,MZ-N,Point(39.5 -15.25)
http://www.wikidata.org/entity/Q622801,MZ-S,Point(34.75 -19.0)
http://www.wikidata.org/entity/Q622803,MZ-Q,Point(37.0 -17.0)
http://www.wikidata.org/entity/Q623295,GN-MM,Point(-12.0941 10.3757)
http://www.wikidata.org/entity/Q623295,GN-MM,Point(-12.0833 10.3833)
http://www.wikidata.org/entity/Q623409,GN-KB,Point(-11.894 11.59)
http://www.wikidata.org/entity/Q629934,TL-MF,Point(125.783333333 -9.0)
http://www.wikidata.org/entity/Q646647,BF-NOU,Point(-3.0 9.833333333)
http://www.wikidata.org/entity/Q647378,TR-73,Point(42.454059 37.5192)
http://www.wikidata.org/entity/Q649190,MH-ENI,Point(162.333333333 11.5)
http://www.wikidata.org/entity/Q649484,GR-59,Point(22.08333333 40.91666667)
http://www.wikidata.org/entity/Q650617,VU-SEE,Point(168.5 -17.333333333)
http://www.wikidata.org/entity/Q651688,LB-BA,Point(35.5 33.883333333)
http://www.wikidata.org/entity/Q652818,KH-17,Point(103.85 13.35)
http://www.wikidata.org/entity/Q657821,NG-KT,Point(7.5 12.25)
http://www.wikidata.org/entity/Q660040,SO-HI,Point(45.45 4.783333333)
http://www.wikidata.org/entity/Q668171,TL-ER,Point(125.383333333 -8.833333333)
http://www.wikidata.org/entity/Q668498,KN-06,Point(-62.796944 17.386944)
http://www.wikidata.org/entity/Q669802,GT-QC,Point(-91.15 15.03)
http://www.wikidata.org/entity/Q670975,SI-079,Point(14.966666666 46.333333333)
http://www.wikidata.org/entity/Q691781,LU-RM,Point(6.3 49.5)
http://www.wikidata.org/entity/Q720848,BI-KY,Point(29.616666666 -2.916666666)
http://www.wikidata.org/entity/Q722505,MW-MG,Point(35.25 -14.5)
http://www.wikidata.org/entity/Q723006,LK-33,Point(81.166666666 6.25)
http://www.wikidata.org/entity/Q727267,IS-4,Point(-22.170556 65.7375)
http://www.wikidata.org/entity/Q736507,GN-PI,Point(-12.3995 11.0588)
http://www.wikidata.org/entity/Q738546,MR-03,Point(-11.916666666 16.6)
http://www.wikidata.org/entity/Q739824,CZ-513,Point(15.056111111 50.766944444)
http://www.wikidata.org/entity/Q740640,VU-SAM,Point(166.75 -15.333333333)
http://www.wikidata.org/entity/Q741009,PY-1,Point(-57.0 -23.0)
http://www.wikidata.org/entity/Q744070,MT-41,Point(14.483333333 35.883333333)
http://www.wikidata.org/entity/Q751387,SO-SA,Point(48.185833333 10.779166666)
http://www.wikidata.org/entity/Q751864,KH-20,Point(105.816666666 11.066666666)
http://www.wikidata.org/entity/Q752676,NA-HA,Point(17.95 -24.616666666)
